ID_Incidente,Fecha,Area,Tipo_Incidente,Severidad,Dias_Incapacidad,Causa_Raiz
INC-0039,2023-01-02,Comercial/Campo,Enfermedad Laboral,Grave,23,Peligro locativo / Desorden
INC-0137,2023-01-06,Operaciones/Planta,Enfermedad Laboral,Leve,2,Fatiga / Factor humano
INC-0429,2023-01-08,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0268,2023-01-09,Comercial/Campo,Accidente de Trabajo,Moderado,11,Condición insegura (Herramienta/Equipo)
INC-0143,2023-01-10,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0144,2023-01-13,Logística/Bodega,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0015,2023-01-15,Operaciones/Planta,Accidente de Trabajo,Moderado,11,Condición insegura (Herramienta/Equipo)
INC-0400,2023-01-19,Mantenimiento,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0281,2023-01-21,Logística/Bodega,Accidente de Trabajo,Grave,37,Fatiga / Factor humano
INC-0270,2023-01-22,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0046,2023-01-27,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0197,2023-01-29,Operaciones/Planta,Accidente de Trabajo,Moderado,10,Fatiga / Factor humano
INC-0075,2023-02-04,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0231,2023-02-07,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0381,2023-02-08,Logística/Bodega,Incapacidad Común,Moderado,8,Acto inseguro (No uso de EPP)
INC-0090,2023-02-08,Mantenimiento,Accidente de Trabajo,Leve,2,Acto inseguro (No uso de EPP)
INC-0443,2023-02-10,Logística/Bodega,Accidente de Trabajo,Moderado,9,Falta de procedimiento/Capacitación
INC-0099,2023-02-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0192,2023-02-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0352,2023-02-12,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0312,2023-02-12,Logística/Bodega,Incapacidad Común,Moderado,14,Acto inseguro (No uso de EPP)
INC-0159,2023-02-16,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0095,2023-02-16,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
