Codigo;Producto;Mes;Contribucion al IPC;Clase_social
1110000;Pan Y Cereales;Febrero;0,01167978;Pobres
1110000;Pan Y Cereales;Marzo;0,000896313;Pobres
1110000;Pan Y Cereales;Abril;0,00806534;Pobres
1110000;Pan Y Cereales;Mayo;0,006859208;Pobres
1110000;Pan Y Cereales;Junio;-0,006254018;Pobres
1110000;Pan Y Cereales;Julio;-0,013120369;Pobres
1110000;Pan Y Cereales;Agosto;-0,012258556;Pobres
1110000;Pan Y Cereales;Septiembre;-0,010490813;Pobres
1110000;Pan Y Cereales;Octubre;-0,010513275;Pobres
1110000;Pan Y Cereales;Noviembre;-0,0328116;Pobres
1110000;Pan Y Cereales;Diciembre;-0,017576842;Pobres
1120000;Carnes;Febrero;0,044583036;Pobres
1120000;Carnes;Marzo;0,038516161;Pobres
1120000;Carnes;Abril;0,022452565;Pobres
1120000;Carnes;Mayo;0,004410339;Pobres
1120000;Carnes;Junio;0,011017542;Pobres
1120000;Carnes;Julio;0,00911166;Pobres
1120000;Carnes;Agosto;0,023214286;Pobres
1120000;Carnes;Septiembre;0,023747463;Pobres
1120000;Carnes;Octubre;0,028319502;Pobres
1120000;Carnes;Noviembre;0,030041294;Pobres
1120000;Carnes;Diciembre;0,01571421;Pobres
1130000;Pescado;Febrero;0,004016941;Pobres
1130000;Pescado;Marzo;0,007778667;Pobres
1130000;Pescado;Abril;0,007222527;Pobres
1130000;Pescado;Mayo;0,004417141;Pobres
1130000;Pescado;Junio;-0,000214406;Pobres
1130000;Pescado;Julio;-0,001233133;Pobres
1130000;Pescado;Agosto;0,000590577;Pobres
1130000;Pescado;Septiembre;0,002038823;Pobres
1130000;Pescado;Octubre;0;Pobres
1130000;Pescado;Noviembre;0,001445327;Pobres
1130000;Pescado;Diciembre;-0,000748214;Pobres
1140000;Leche, Queso Y Huevos;Febrero;0,005198488;Pobres
1140000;Leche, Queso Y Huevos;Marzo;0,020141288;Pobres
1140000;Leche, Queso Y Huevos;Abril;0,036343364;Pobres
1140000;Leche, Queso Y Huevos;Mayo;0,017173754;Pobres
1140000;Leche, Queso Y Huevos;Junio;-0,001627894;Pobres
1140000;Leche, Queso Y Huevos;Julio;-0,007328809;Pobres
1140000;Leche, Queso Y Huevos;Agosto;0,009995504;Pobres
1140000;Leche, Queso Y Huevos;Septiembre;-0,006102892;Pobres
1140000;Leche, Queso Y Huevos;Octubre;-0,004075446;Pobres
1140000;Leche, Queso Y Huevos;Noviembre;-0,007752051;Pobres
1140000;Leche, Queso Y Huevos;Diciembre;0,010017459;Pobres
1150000;Aceites Y Grasas;Febrero;0,003172879;Pobres
1150000;Aceites Y Grasas;Marzo;0,000235901;Pobres
1150000;Aceites Y Grasas;Abril;0,006037401;Pobres
1150000;Aceites Y Grasas;Mayo;0,008523886;Pobres
1150000;Aceites Y Grasas;Junio;0,001901151;Pobres
1150000;Aceites Y Grasas;Julio;0,004395275;Pobres
1150000;Aceites Y Grasas;Agosto;0,006075703;Pobres
1150000;Aceites Y Grasas;Septiembre;0,002696382;Pobres
1150000;Aceites Y Grasas;Octubre;0,000501126;Pobres
1150000;Aceites Y Grasas;Noviembre;0,001001661;Pobres
1150000;Aceites Y Grasas;Diciembre;0;Pobres
1160000;Frutas;Febrero;0,011692575;Pobres
1160000;Frutas;Marzo;0,008369668;Pobres
1160000;Frutas;Abril;0,016851781;Pobres
