Mes;Clase_social;Aporte
Febrero;Clase media;0,076857069
Febrero;Ingresos altos;0,04347812
Febrero;Pobres;0,100303361
Febrero;Vulnerables;0,775786
Marzo;Clase media;0,105388572
Marzo;Ingresos altos;0,05814158
Marzo;Pobres;0,146930332
Marzo;Vulnerables;0,140174625
Abril;Clase media;0,158587973
Abril;Ingresos altos;0,085075499
Abril;Pobres;0,235099628
Abril;Vulnerables;0,220058066
Mayo;Clase media;0,084470141
Mayo;Ingresos altos;0,041483969
Mayo;Pobres;0,135380074
Mayo;Vulnerables;0,122322198
Junio;Clase media;-0,014755717
Junio;Ingresos altos;-0,007251501
Junio;Pobres;-0,028609833
Junio;Vulnerables;-0,027772919
Julio;Clase media;0,097756988
Julio;Ingresos altos;0,06353997
Julio;Pobres;0,127686936
Julio;Vulnerables;0,123444687
Agosto;Clase media;0,06113022
Agosto;Ingresos altos;0,043778333
Agosto;Pobres;0,061953959
Agosto;Vulnerables;0,065845938
Septiembre;Clase media;0,028235058
Septiembre;Ingresos altos;0,023851134
Septiembre;Pobres;0,021638905
Septiembre;Vulnerables;0,02567858
Octubre;Clase media;-0,044253606
Octubre;Ingresos altos;-0,022175564
Octubre;Pobres;-0,081348773
Octubre;Vulnerables;-0,072704014
Noviembre;Clase media;-0,08592563
Noviembre;Ingresos altos;-0,056112179
Noviembre;Pobres;-0,12897259
Noviembre;Vulnerables;-0,119390307
Diciembre;Clase media;0,008790053
Diciembre;Ingresos altos;-0,008746812
Diciembre;Pobres;0,02793125
Diciembre;Vulnerables;0,025019315
