ID_Cliente,Recencia,Frecuencia,Monto,R_Score,F_Score,M_Score,RFM_Segmento
CLI_0001,1,5,498413,4,3,2,432
CLI_0002,63,4,601566,2,2,3,223
CLI_0003,234,1,237450,1,1,1,111
CLI_0004,107,3,199629,2,1,1,211
CLI_0005,153,3,536161,1,1,3,113
CLI_0006,86,4,386583,2,2,2,222
CLI_0007,11,9,1244702,4,4,4,444
CLI_0008,33,6,902485,3,4,4,344
CLI_0009,22,3,711464,3,1,3,313
CLI_0010,18,8,640737,4,4,3,443
CLI_0011,7,7,957423,4,4,4,444
CLI_0012,47,5,377494,3,3,2,332
CLI_0013,21,12,1105081,3,4,4,344
CLI_0015,11,2,445806,4,1,2,412
CLI_0016,17,3,266951,4,1,1,411
CLI_0017,112,2,270939,1,1,1,111
CLI_0018,7,6,1059831,4,4,4,444
CLI_0019,14,4,574239,4,2,3,423
CLI_0020,93,5,512379,2,3,2,232
CLI_0021,33,3,226841,3,1,1,311
CLI_0022,8,9,1408108,4,4,4,444
CLI_0023,12,4,413992,4,2,2,422
CLI_0024,85,2,257812,2,1,1,211
CLI_0025,34,4,439658,3,2,2,322
CLI_0026,12,7,985576,4,4,4,444
CLI_0027,53,7,784950,3,4,4,344
CLI_0028,31,7,602275,3,4,3,343
CLI_0029,48,3,650808,3,1,3,313
CLI_0030,58,2,218191,2,1,1,211
CLI_0031,9,3,318094,4,1,1,411
CLI_0032,70,4,442346,2,2,2,222
CLI_0033,352,1,72493,1,1,1,111
CLI_0034,8,4,384708,4,2,2,422
CLI_0035,17,4,394959,4,2,2,422
CLI_0036,169,1,109953,1,1,1,111
CLI_0037,92,5,385312,2,3,2,232
CLI_0038,59,5,853158,2,3,4,234
CLI_0039,12,3,243602,4,1,1,411
CLI_0040,56,3,611476,2,1,3,213
CLI_0041,74,3,198870,2,1,1,211
CLI_0042,47,5,903442,3,3,4,334
CLI_0043,133,4,622481,1,2,3,123
CLI_0044,263,1,82088,1,1,1,111
CLI_0045,7,5,822674,4,3,4,434
CLI_0046,227,2,169888,1,1,1,111
CLI_0047,49,8,837325,3,4,4,344
CLI_0048,217,5,949624,1,3,4,134
CLI_0049,91,6,895428,2,4,4,244
CLI_0050,65,2,262963,2,1,1,211
CLI_0051,8,4,425869,4,2,2,422
CLI_0052,116,4,535946,1,2,3,123
CLI_0053,19,4,602543,4,2,3,423
CLI_0054,55,5,1140650,2,3,4,234
CLI_0055,141,4,408924,1,2,2,122
CLI_0056,65,6,522670,2,4,3,243
CLI_0057,86,3,368429,2,1,2,212
CLI_0058,54,10,1033251,2,4,4,244
CLI_0059,108,4,792508,1,2,4,124
CLI_0060,1,3,465302,4,1,2,412
CLI_0061,15,2,52554,4,1,1,411
CLI_0062,29,4,687881,3,2,3,323
CLI_0063,306,1,25098,1,1,1,111
CLI_0064,272,1,108512,1,1,1,111
CLI_0065,17,5,375973,4,3,2,432
CLI_0066,42,4,797433,3,2,4,324
CLI_0067,65,2,374620,2,1,2,212
CLI_0068,325,1,84350,1,1,1,111
CLI_0069,185,5,773957,1,3,3,133
CLI_0070,68,1,323272,2,1,1,211
CLI_0071,42,3,228840,3,1,1,311
CLI_0072,92,5,631206,2,3,3,233
CLI_0073,117,5,432527,1,3,2,132
CLI_0074,251,3,811551,1,1,4,114
CLI_0075,10,2,249980,4,1,1,411
CLI_0076,8,3,429280,4,1,2,412
CLI_0077,4,8,910119,4,4,4,444
CLI_0078,172,4,462963,1,2,2,122
CLI_0079,47,7,1130181,3,4,4,344
CLI_0080,329,2,310463,1,1,1,111
CLI_0081,6,6,516422,4,4,2,442
CLI_0082,60,4,697007,2,2,3,223
CLI_0083,9,5,522081,4,3,3,433
CLI_0084,61,7,1121232,2,4,4,244
CLI_0085,43,2,232570,3,1,1,311
CLI_0086,21,1,35373,3,1,1,311
CLI_0087,56,3,430812,2,1,2,212
CLI_0088,11,3,515550,4,1,2,412
CLI_0089,11,5,715119,4,3,3,433
CLI_0090,30,4,632499,3,2,3,323
CLI_0091,152,3,231911,1,1,1,111
CLI_0092,160,2,90333,1,1,1,111
CLI_0093,5,4,475324,4,2,2,422
CLI_0094,123,4,365862,1,2,2,122
CLI_0095,29,5,899095,3,3,4,334
CLI_0096,125,5,637126,1,3,3,133
CLI_0097,207,4,467744,1,2,2,122
CLI_0098,143,3,212056,1,1,1,111
CLI_0099,20,5,872426,3,3,4,334
CLI_0100,108,5,999810,1,3,4,134
CLI_0101,19,4,529064,4,2,3,423
CLI_0102,213,1,41134,1,1,1,111
CLI_0103,6,7,1051934,4,4,4,444
CLI_0104,170,6,505819,1,4,2,142
CLI_0105,28,6,575696,3,4,3,343
CLI_0106,23,8,933087,3,4,4,344
CLI_0107,120,3,323279,1,1,1,111
CLI_0108,110,4,395641,1,2,2,122
CLI_0109,16,5,433927,4,3,2,432
CLI_0110,30,5,610336,3,3,3,333
CLI_0111,51,10,1056125,3,4,4,344
CLI_0112,66,3,293894,2,1,1,211
CLI_0113,70,3,173084,2,1,1,211
CLI_0114,52,3,526136,3,1,3,313
CLI_0115,244,2,260893,1,1,1,111
CLI_0116,74,5,230144,2,3,1,231
CLI_0117,106,4,786734,2,2,4,224
CLI_0118,21,8,1057290,3,4,4,344
CLI_0119,121,4,308794,1,2,1,121
CLI_0120,8,3,268508,4,1,1,411
CLI_0121,119,2,497356,1,1,2,112
CLI_0122,39,3,593541,3,1,3,313
CLI_0123,146,7,692318,1,4,3,143
CLI_0124,106,3,347904,2,1,2,212
CLI_0125,21,6,1370041,3,4,4,344
CLI_0126,27,4,622042,3,2,3,323
CLI_0127,56,3,334401,2,2,1,221
CLI_0128,26,11,1177048,3,4,4,344
CLI_0129,2,3,163184,4,2,1,421
CLI_0130,48,6,787278,3,4,4,344
CLI_0131,82,1,138810,2,1,1,211
CLI_0132,36,4,330348,3,2,1,321
CLI_0133,25,4,649304,3,2,3,323
CLI_0134,204,5,870758,1,3,4,134
CLI_0135,234,4,653036,1,2,3,123
CLI_0136,44,3,343443,3,2,2,322
CLI_0137,25,12,1264517,3,4,4,344
CLI_0138,60,7,649381,2,4,3,243
CLI_0139,22,4,357848,3,2,2,322
CLI_0140,16,8,1002588,4,4,4,444
CLI_0141,35,6,878679,3,4,4,344
CLI_0142,156,2,442214,1,1,2,112
CLI_0143,68,4,436130,2,2,2,222
CLI_0144,68,4,522358,2,2,3,223
CLI_0145,30,5,617435,3,3,3,333
CLI_0146,92,4,721971,2,2,3,223
CLI_0147,77,4,774857,2,2,4,224
CLI_0148,133,3,387651,1,2,2,122
CLI_0149,10,9,1098711,4,4,4,444
CLI_0150,53,5,803124,3,3,4,334
CLI_0151,71,7,946948,2,4,4,244
CLI_0152,75,6,413666,2,4,2,242
CLI_0153,87,5,622772,2,3,3,233
CLI_0154,30,5,876832,3,3,4,334
