ID_Factura,Fecha_Venta,ID_Cliente,Categoria_Producto,Precio_Unitario,Cantidad,Canal_Venta,Total_Venta
FAC_1038,2025-09-07,CLI_0215,Forros_Asiento,133321,1,Tienda Física,133321
FAC_2055,2026-06-15,CLI_0170,Accesorios,25055,1,Tienda Física,25055
FAC_1602,2026-06-07,CLI_0053,Forros_Asiento,140996,2,Tienda Física,281992
FAC_1697,2026-06-11,CLI_0264,Forros_Asiento,164232,2,Tienda Física,328464
FAC_1888,2026-02-06,CLI_0002,Cubre_Volantes,48701,1,Tienda Física,48701
FAC_1392,2026-04-28,CLI_0218,Forros_Asiento,143078,1,Tienda Física,143078
FAC_1862,2026-05-02,CLI_0271,Forros_Asiento,152590,1,Tienda Física,152590
FAC_1750,2025-11-15,CLI_0208,Tapetes,148265,1,WhatsApp,148265
FAC_1935,2026-03-15,CLI_0188,Tapetes,88916,1,Tienda Física,88916
FAC_1656,2025-10-01,CLI_0163,Forros_Asiento,158731,2,WhatsApp,317462
FAC_1284,2025-11-27,CLI_0028,Tapetes,86798,1,WhatsApp,86798
FAC_1001,2025-09-17,CLI_0062,Tapetes,80927,1,Tienda Física,80927
FAC_1125,2026-06-28,CLI_0227,Accesorios,27086,1,Tienda Física,27086
FAC_2015,2025-09-14,CLI_0255,Accesorios,25903,2,Tienda Física,51806
FAC_1770,2026-04-16,CLI_0179,Forros_Asiento,140776,1,Tienda Física,140776
FAC_1455,2026-08-01,CLI_0222,Tapetes,85779,1,Tienda Física,85779
FAC_1802,2026-01-23,CLI_0013,Forros_Asiento,72941,1,Tienda Física,72941
FAC_2063,2025-09-13,CLI_0134,Forros_Asiento,157521,2,Tienda Física,315042
FAC_1312,2026-05-25,CLI_0128,Forros_Asiento,164439,1,WhatsApp,164439
FAC_1009,2025-12-31,CLI_0165,Accesorios,18362,1,WhatsApp,18362
FAC_1820,2026-05-02,CLI_0160,Forros_Asiento,140009,1,Tienda Física,140009
FAC_1194,2026-07-27,CLI_0081,Tapetes,78554,1,Tienda Física,78554
FAC_1268,2025-08-05,CLI_0224,Forros_Asiento,43012,1,Web,43012
FAC_1805,2025-11-25,CLI_0160,Forros_Asiento,149479,1,Tienda Física,149479
FAC_2073,2026-07-11,CLI_0255,Tapetes,83178,1,WhatsApp,83178
