ID_Factura,Fecha_Venta,ID_Cliente,Categoria_Producto,Precio_Unitario,Cantidad,Canal_Venta
FAC_1038,2025-09-07,CLI_0215,Forros_Asiento,133321,1,Tienda Física
FAC_1022,2026-01-01,,Accesorios,28948,2,Tienda Física
FAC_2055,2026-06-15,CLI_0170,Accesorios,25055,1,Tienda Física
FAC_2054,2026-06-06,,Cubre_Volantes,43870,1,Tienda Física
FAC_1075,2026-01-07,CLI_0135,tapetes,50104,-1,Tienda Física
FAC_1602,2026-06-07,CLI_0053,Forros_Asiento,140996,2,Tienda Física
FAC_1697,2026-06-11,CLI_0264,Forros_Asiento,164232,2,Tienda Física
FAC_1888,2026-02-06,CLI_0002,Cubre_Volantes,48701,1,Tienda Física
FAC_1392,2026-04-28,CLI_0218,Forros_Asiento,143078,1,Tienda Física
FAC_1862,2026-05-02,CLI_0271,Forros_Asiento,152590,1,Tienda Física
FAC_1750,2025-11-15,CLI_0208,tapetes,148265,1,WhatsApp
FAC_1935,2026-03-15,CLI_0188,Tapetes,88916,1,Tienda Física
FAC_1656,2025-10-01,CLI_0163,Forros_Asiento,158731,2,WhatsApp
FAC_1284,2025-11-27,CLI_0028,Tapetes,86798,1,WhatsApp
FAC_1001,2025-09-17,CLI_0062,Tapetes,80927,1,Tienda Física
FAC_1125,2026-06-28,CLI_0227,Accesorios,27086,1,Tienda Física
FAC_2015,2025-09-14,CLI_0255,Accesorios,25903,2,Tienda Física
FAC_1770,2026-04-16,CLI_0179,Forros_Asiento,140776,1,Tienda Física
FAC_1455,2026-08-01,CLI_0222,Tapetes,85779,1,Tienda Física
FAC_1802,2026-01-23,CLI_0013, Forros_Asiento ,72941,1,Tienda Física
FAC_2063,2025-09-13,CLI_0134,Forros_Asiento,157521,2,Tienda Física
FAC_1312,2026-05-25,CLI_0128,Forros_Asiento,164439,1,WhatsApp
FAC_1487,2026-05-16,,Accesorios,23244,1,Tienda Física
FAC_1009,2025-12-31,CLI_0165,Accesorios,18362,1,WhatsApp
FAC_1820,2026-05-02,CLI_0160,Forros_Asiento,140009,1,Tienda Física
FAC_1543,2025-10-27,CLI_0052,Accesorios,25643,-1,Tienda Física
FAC_1194,2026-07-27,CLI_0081,Tapetes,78554,1,Tienda Física
FAC_1268,2025-08-05,CLI_0224, Forros_Asiento ,43012,1,Web
FAC_1805,2025-11-25,CLI_0160,Forros_Asiento,149479,1,Tienda Física
FAC_2073,2026-07-11,CLI_0255,Tapetes,83178,1,WhatsApp
FAC_2043,2026-03-19,CLI_0240,Tapetes,84614,1,WhatsApp
FAC_1508,2026-04-28,CLI_0259,Forros_Asiento,179007,1,Tienda Física
FAC_1070,2026-04-26,CLI_0147,Tapetes,85077,1,Tienda Física
FAC_1728,2026-07-21,CLI_0039, Forros_Asiento ,147848,1,Web
FAC_1388,2026-05-18,CLI_0151,Forros_Asiento,138251,1,Tienda Física
FAC_2196,2025-08-25,,Tapetes,79682,1,Tienda Física
FAC_1858,2025-10-06,CLI_0140,Tapetes,82241,1,Tienda Física
FAC_1354,2026-01-17,,Accesorios,23496,1,WhatsApp
FAC_1208,2025-10-18,CLI_0116,Accesorios,25626,1,Tienda Física
FAC_1522,2026-06-18,CLI_0227,tapetes,153394,2,Tienda Física
FAC_1723,2025-10-07,CLI_0163,Cubre_Volantes,44356,1,WhatsApp
FAC_1849,2026-01-14,CLI_0277,Forros_Asiento,135379,2,Tienda Física
FAC_1614,2026-02-25,CLI_0128,tapetes,163008,2,Tienda Física
FAC_1736,2026-07-25,CLI_0238, Forros_Asiento ,129451,1,Tienda Física
FAC_1652,2025-11-23,CLI_0027,Cubre_Volantes,49097,1,WhatsApp
FAC_1852,2026-05-08,CLI_0147,Tapetes,82750,3,Tienda Física
FAC_2175,2025-11-26,CLI_0006,Accesorios,20541,1,Tienda Física
FAC_2072,2026-03-29,CLI_0181,Forros_Asiento,148138,2,Tienda Física
FAC_1967,2026-05-25,,Cubre_Volantes,44021,1,Tienda Física
FAC_1276,2026-02-01,CLI_0058,Forros_Asiento,160651,1,Web
FAC_1555,2025-10-20,CLI_0151,Forros_Asiento,159526,1,Tienda Física
FAC_1399,2025-11-13,CLI_0299,Tapetes,88041,1,WhatsApp
FAC_1223,2026-06-23,CLI_0013,Tapetes,79330,1,Tienda Física
FAC_1351,2026-07-03,CLI_0264,Forros_Asiento,132251,-1,WhatsApp
FAC_1115,2026-02-23,CLI_0092,Accesorios,24211,2,Tienda Física
FAC_1145,2026-05-23,CLI_0186,Tapetes,74798,2,Tienda Física
FAC_1156,2026-07-02,CLI_0180,Forros_Asiento,143782,1,Tienda Física
FAC_1459,2026-05-19,CLI_0264,tapetes,120126,-1,WhatsApp
FAC_1093,2026-05-15,CLI_0047,Forros_Asiento,139044,1,WhatsApp
FAC_1418,2025-10-31,CLI_0058, Forros_Asiento ,130381,1,Tienda Física
FAC_2152,2026-05-08,CLI_0058,Forros_Asiento,138422,2,Web
FAC_1225,2026-03-09,CLI_0089,Tapetes,82285,1,WhatsApp
FAC_2087,2025-12-13,CLI_0247,Forros_Asiento,181832,2,Tienda Física
FAC_1913,2025-10-31,CLI_0047,Tapetes,79219,1,Tienda Física
FAC_2153,2025-10-27,CLI_0218,Accesorios,24406,2,WhatsApp
FAC_1144,2026-07-21,CLI_0023,Accesorios,23796,1,Tienda Física
FAC_1098,2026-04-12,,Cubre_Volantes,43540,1,Web
FAC_1111,2026-07-16,CLI_0016,Tapetes,101435,1,Tienda Física
FAC_1487,2026-01-02,CLI_0152,Tapetes,85593,1,WhatsApp
FAC_1649,2026-04-27,CLI_0101,Tapetes,86929,1,WhatsApp
FAC_1263,2025-10-25,CLI_0285,Accesorios,22137,1,Tienda Física
FAC_1603,2026-01-30,CLI_0264,Forros_Asiento,142703,1,Tienda Física
FAC_1418,2026-07-15,,Tapetes,74475,1,WhatsApp
FAC_1450,2025-12-23,CLI_0164,Forros_Asiento,156729,1,Tienda Física
FAC_1819,2026-03-13,,Accesorios,20530,1,Tienda Física
FAC_1830,2026-07-12,CLI_0013,Cubre_Volantes,44020,2,WhatsApp
FAC_1032,2026-06-02,CLI_0084,Forros_Asiento,159492,1,WhatsApp
FAC_1566,2026-05-12,CLI_0233,Forros_Asiento,146411,2,WhatsApp
